,nro_inscripcion,sexo,nacionalidad,edad,regular,cnt_readmisiones,calidad,estado_civil,sit_lab_alumno,tipo_res_nuevo,sit_lab_padres,estudios_padres,inactividad
1371,FCEQN-6225,2,1.0,26,S,2.0,P,1.0,NC,-1.0,-1,1.0,0
1372,FCEQN-5751,1,1.0,27,S,2.0,A,1.0,NC,1.0,-1,5.0,1
1373,FCEQN-6161,2,1.0,26,N,1.0,P,1.0,NC,2.0,4,3.0,15
1374,FCEQN-6350,1,1.0,26,S,1.0,A,1.0,NC,-1.0,4,3.0,3
1375,FCEQN-6472,2,1.0,26,S,0.0,A,1.0,NC,1.0,-1,1.0,2
1376,FCEQN-6474,2,1.0,26,S,1.0,A,1.0,NC,1.0,-1,1.0,1
1377,FCEQN-6475,1,1.0,28,S,2.0,A,1.0,NC,-1.0,-1,-1.0,0
1378,FCEQN-5435,1,1.0,27,S,1.0,A,1.0,NC,4.0,3,5.0,1
1379,FCEQN-6476,1,1.0,25,N,2.0,P,1.0,NC,1.0,4,5.0,0
1380,FCEQN-6182,2,1.0,26,S,1.0,P,1.0,NC,1.0,-1,1.0,1
1381,FCEQN-5848,2,1.0,25,S,2.0,A,1.0,NC,-1.0,-1,1.0,4
1382,FCEQN-6477,1,1.0,27,S,2.0,A,1.0,NC,1.0,4,3.0,1
1383,FCEQN-6479,1,1.0,95,S,1.0,P,1.0,NC,-1.0,-1,-1.0,28
1384,FCEQN-6155,2,1.0,28,S,1.0,P,1.0,NC,-1.0,-1,1.0,4
1385,FCEQN-6043,2,1.0,26,N,0.0,A,1.0,NC,-1.0,-1,-1.0,1
1386,FCEQN-6473,1,1.0,26,N,2.0,A,1.0,NC,1.0,-1,1.0,3
1387,FCEQN-6376,1,1.0,26,N,0.0,A,1.0,NC,-1.0,4,5.0,3
1388,FCEQN-6023,2,1.0,25,S,1.0,A,1.0,NC,-1.0,-1,-1.0,0
1389,FCEQN-6480,1,1.0,25,S,1.0,A,1.0,NC,1.0,-1,1.0,1
1390,FCEQN-6176,2,1.0,25,S,0.0,A,1.0,NC,-1.0,-1,-1.0,15
1391,FCEQN-6482,2,1.0,26,N,1.0,P,1.0,NC,2.0,-1,1.0,1
1392,FCEQN-6484,2,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,-1.0,1
1393,FCEQN-6485,2,1.0,28,S,0.0,A,1.0,NC,2.0,1,4.0,11
1394,FCEQN-6340,1,1.0,25,S,1.0,A,1.0,NC,-1.0,4,5.0,1
1395,FCEQN-6486,2,1.0,31,N,2.0,P,1.0,NC,2.0,-1,1.0,3
1396,FCEQN-6487,1,1.0,27,N,1.0,P,1.0,NC,1.0,1,3.0,2
1397,FCEQN-6222,2,3.0,26,S,0.0,A,1.0,NC,2.0,-1,1.0,1
1398,FCEQN-6488,1,1.0,26,S,1.0,A,1.0,NC,2.0,1,5.0,4
1399,FCEQN-6124,1,1.0,26,N,1.0,P,1.0,NC,-1.0,4,3.0,1
1400,FCEQN-6021,2,1.0,25,S,1.0,P,1.0,NC,1.0,-1,1.0,2
1401,FCEQN-5999,2,1.0,26,N,1.0,P,1.0,NC,-1.0,-1,1.0,2
1402,FCEQN-1758,2,1.0,31,S,1.0,A,1.0,NC,1.0,-1,-1.0,7
1403,FCEQN-6426,1,1.0,36,S,2.0,A,1.0,NC,-1.0,-1,7.0,12
1404,FCEQN-6248,2,1.0,25,N,1.0,A,1.0,NC,-1.0,-1,-1.0,3
1405,FCEQN-6054,2,1.0,25,N,1.0,A,1.0,NC,-1.0,-1,1.0,3
1406,FCEQN-6326,1,1.0,25,N,1.0,A,1.0,NC,-1.0,-1,-1.0,4
1407,FCEQN-6327,2,1.0,25,N,2.0,A,1.0,NC,2.0,-1,7.0,0
1408,FCEQN-4595,2,1.0,28,S,2.0,A,1.0,Si,1.0,1,5.0,6
1409,FCEQN-4916,1,1.0,28,N,1.0,A,1.0,Si,3.0,3,3.0,1
1410,FCEQN-6471,1,1.0,25,S,2.0,A,1.0,NC,-1.0,-1,-1.0,2
1411,FCEQN-6356,2,1.0,25,S,0.0,A,1.0,NC,-1.0,-1,-1.0,3
1412,FCEQN-5821,2,1.0,25,S,1.0,A,1.0,NC,-1.0,-1,1.0,4
1413,FCEQN-3585,2,1.0,30,S,1.0,A,1.0,No,2.0,1,5.0,2
1414,FCEQN-5847,1,1.0,25,S,1.0,A,1.0,NC,2.0,3,3.0,0
1415,FCEQN-1524,2,1.0,31,S,2.0,A,1.0,NC,4.0,-1,-1.0,5
1416,FCEQN-4802,2,1.0,27,N,0.0,A,1.0,No,1.0,3,3.0,2
1417,FCEQN-5871,1,1.0,25,S,0.0,A,1.0,NC,-1.0,-1,-1.0,1
1418,FCEQN-6074,2,1.0,25,N,2.0,P,1.0,NC,2.0,4,3.0,0
1419,FCEQN-5646,2,1.0,26,N,1.0,P,1.0,NC,-1.0,-1,-1.0,5
1420,FCEQN-4512,1,1.0,29,S,1.0,A,1.0,No,1.0,3,7.0,5
1421,FCEQN-5213,1,1.0,28,S,1.0,A,1.0,NC,1.0,3,5.0,1
1422,FCEQN-5223,1,1.0,27,S,2.0,A,1.0,NC,-1.0,-1,-1.0,1
1423,FCEQN-4628,1,1.0,28,N,2.0,P,1.0,Si,2.0,1,5.0,3
1424,FCEQN-4851,2,1.0,28,N,1.0,P,1.0,No,2.0,3,5.0,4
1425,FCEQN-3460,2,1.0,33,N,1.0,P,1.0,No,1.0,3,5.0,1
1426,FCEQN-4506,1,1.0,28,S,2.0,A,1.0,Si,1.0,1,4.0,2
1427,FCEQN-5136,1,1.0,28,S,0.0,A,1.0,NC,1.0,-1,-1.0,0
1428,FCEQN-5548,1,1.0,26,N,0.0,A,1.0,NC,1.0,3,5.0,2
1429,FCEQN-5826,1,1.0,25,S,2.0,A,1.0,NC,1.0,1,5.0,2
1430,FCEQN-6164,2,1.0,27,N,1.0,A,1.0,NC,1.0,-1,1.0,1
1431,FCEQN-6394,2,1.0,25,N,2.0,P,1.0,NC,-1.0,4,2.0,1
1432,FCEQN-6403,2,1.0,26,S,1.0,A,1.0,NC,1.0,1,5.0,4
1433,FCEQN-6481,1,1.0,34,S,1.0,P,1.0,NC,1.0,-1,1.0,3
1434,FCEQN-3469,2,1.0,30,N,2.0,P,1.0,No,4.0,3,5.0,2
1435,FCEQN-3503,2,1.0,30,S,1.0,A,1.0,No,2.0,4,7.0,1
1436,FCEQN-6196,1,1.0,26,S,2.0,A,1.0,NC,-1.0,-1,-1.0,7
1437,FCEQN-5216,2,1.0,35,N,1.0,P,1.0,NC,1.0,3,3.0,2
1438,FCEQN-5547,1,1.0,30,S,1.0,A,1.0,NC,1.0,3,3.0,0
1439,FCEQN-5677,2,1.0,26,S,0.0,A,1.0,NC,4.0,1,5.0,1
1440,FCEQN-5898,1,1.0,28,S,1.0,A,1.0,NC,-1.0,-1,-1.0,4
1441,FCEQN-4195,2,1.0,29,N,1.0,A,1.0,No,4.0,1,3.0,3
